Vendor Name,Vendor Style Number ,Style Code,UPC,WHSEDESC,Vendor Color Name,Size, S&B Pricing  , Pricing with Customer Discount  ,Customer discount + Embroidery ,Embroidery Design ,Personalization?,Department,Ordering Note,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_T_NVY-NAVY,619159994681,Classic Unisex Drawstring Scrub Pant,Navy,TXL, $21.99 , $16.49 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_T_PEW-PEWTER,619159994292,Classic Unisex Drawstring Scrub Pant,Pewter,TXS, $21.99 , $16.49 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_T_PEW-PEWTER,619159994308,Classic Unisex Drawstring Scrub Pant,Pewter,TS, $21.99 , $16.49 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_T_PEW-PEWTER,619159994315,Classic Unisex Drawstring Scrub Pant,Pewter,TM, $21.99 , $16.49 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_T_PEW-PEWTER,619159994322,Classic Unisex Drawstring Scrub Pant,Pewter,TL, $21.99 , $16.49 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_T_PEW-PEWTER,619159994339,Classic Unisex Drawstring Scrub Pant,Pewter,TXL, $21.99 , $16.49 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_T1_NVY-NAVY,619159994698,Classic Unisex Drawstring Scrub Pant,Navy,T2X, $23.99 , $17.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_T1_NVY-NAVY,619159994704,Classic Unisex Drawstring Scrub Pant,Navy,T3X, $23.99 , $17.99 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_T1_PEW-PEWTER,619159994346,Classic Unisex Drawstring Scrub Pant,Pewter,T2X, $23.99 , $17.99 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Classic by Life Threads,3120,3120_T1_PEW-PEWTER,619159994353,Classic Unisex Drawstring Scrub Pant,Pewter,T3X, $23.99 , $17.99 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Contego by Life Threads,1210,1210_R_NVY-NAVY,619159987751,Contego Stretch V-Neck Scrub Top,Navy,XS, $24.99 , $18.74 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Contego by Life Threads,1210,1210_R_NVY-NAVY,619159987768,Contego Stretch V-Neck Scrub Top,Navy,S, $24.99 , $18.74 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Contego by Life Threads,1210,1210_R_NVY-NAVY,619159987775,Contego Stretch V-Neck Scrub Top,Navy,M, $24.99 , $18.74 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Contego by Life Threads,1210,1210_R_NVY-NAVY,619159987782,Contego Stretch V-Neck Scrub Top,Navy,L, $24.99 , $18.74 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Contego by Life Threads,1210,1210_R_NVY-NAVY,619159987799,Contego Stretch V-Neck Scrub Top,Navy,XL, $24.99 , $18.74 ,,,,RN,,,,,,,,,,,,,,,,,,,,,
Contego by Life Threads,1210,1210_R_PEW-PEWTER,619159987966,Contego Stretch V-Neck Scrub Top,Pewter,XS, $24.99 , $18.74 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Contego by Life Threads,1210,1210_R_PEW-PEWTER,619159987973,Contego Stretch V-Neck Scrub Top,Pewter,S, $24.99 , $18.74 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Contego by Life Threads,1210,1210_R_PEW-PEWTER,619159987980,Contego Stretch V-Neck Scrub Top,Pewter,M, $24.99 , $18.74 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
Contego by Life Threads,1210,1210_R_PEW-PEWTER,619159987997,Contego Stretch V-Neck Scrub Top,Pewter,L, $24.99 , $18.74 ,,,,PCT,,,,,,,,,,,,,,,,,,,,,
